,Type,Rating,Effects,thc_max,cbd_max,high_thc,balanced,high_cbd,Focused,Giggly,Creative,Uplifted,Talkative,Happy,Energetic,Euphoric,Tingly,None,Relaxed,Hungry,Sleepy,Aroused,sativa,indica,hybrid
258,hybrid,4.2,"['Happy', 'Uplifted', 'Relaxed', 'Euphoric', 'Talkative']",30.25722458333333,0.4103559722222221,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1
403,hybrid,4.5,"['Happy', 'Uplifted', 'Energetic', 'Relaxed', 'Creative']",23.209321654275087,0.1988408215613382,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
486,hybrid,4.5,"['Uplifted', 'Happy', 'Euphoric', 'Relaxed', 'Energetic']",25.13295224806202,0.1367920930232558,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
58,hybrid,3.9,"['Energetic', 'Creative', 'Giggly', 'Hungry', 'Happy']",22.05545384615385,0.20538461538461542,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
275,hybrid,5.0,"['Creative', 'Energetic', 'Happy', 'Relaxed', 'Focused']",32.704991666666636,0.39004095000000005,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1
820,hybrid,4.1,"['Happy', 'Euphoric', 'Creative', 'Uplifted', 'Relaxed']",23.397082727272732,0.29937963636363635,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
376,hybrid,4.7,"['Relaxed', 'Happy', 'Euphoric', 'Sleepy', 'Uplifted']",29.99478116666667,0.30637016666666667,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
467,hybrid,4.5,"['Relaxed', 'Happy', 'Uplifted', 'Euphoric', 'Hungry']",33.200365999999995,0.4539445000000002,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
879,hybrid,4.4,"['Happy', 'Euphoric', 'Energetic', 'Uplifted', 'Relaxed']",14.612768999999997,0.1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
205,hybrid,4.5,"['Relaxed', 'Happy', 'Euphoric', 'Sleepy', 'Uplifted']",26.746944133333336,0.22024456000000006,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
